Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Sargans
Altitude [m asl]:         585 m
Coordinates:              47° 3.2' N / 9° 26.4' E

Reference date of homogenization:
         Precipitation:   01.12.2019

Last inhomogeneity provisionally corrected:
         Precipitation:   no

Units:
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month      Precipitation  
1975      3              124.3  
1975      4              142.8  
1975      5               91.8  
1975      6              180.8  
1975      7              132.8  
1975      8              245.6  
1975      9               93.6  
1975     10               58.8  
1975     11              158.0  
1975     12               12.5  
1976      1              146.9  
1976      2               16.2  
1976      3               38.5  
1976      4               87.4  
1976      5               86.5  
1976      6              114.2  
1976      7              222.8  
1976      8              105.0  
1976      9              186.2  
1976     10               80.9  
1976     11               79.9  
1976     12               99.9  
1977      1               78.2  
1977      2              145.1  
1977      3               97.4  
1977      4              302.2  
1977      5               89.8  
1977      6               93.8  
1977      7              182.4  
1977      8              199.8  
1977      9               72.0  
1977     10               50.7  
1977     11              146.7  
1977     12               97.7  
1978      1              120.9  
1978      2              142.6  
1978      3              135.9  
1978      4               67.4  
1978      5              168.6  
1978      6              128.8  
1978      7              131.4  
1978      8              146.5  
1978      9              126.7  
1978     10              118.5  
1978     11               25.3  
1978     12               41.7  
1979      1               89.7  
1979      2               63.9  
1979      3              175.1  
1979      4              123.8  
1979      5              164.7  
1979      6              307.3  
1979      7               78.0  
1979      8              216.3  
1979      9              159.5  
1979     10               76.2  
1979     11              209.5  
1979     12              186.9  
1980      1              111.4  
1980      2               84.4  
1980      3               78.7  
1980      4              149.4  
1980      5               53.2  
1980      6              226.4  
1980      7              177.9  
1980      8               82.2  
1980      9               48.4  
1980     10              152.0  
1980     11               55.5  
1980     12              124.8  
1981      1              227.1  
1981      2               65.4  
1981      3              122.4  
1981      4               24.5  
1981      5              162.2  
1981      6               87.9  
1981      7              311.1  
1981      8              146.6  
1981      9              216.2  
1981     10              205.4  
1981     11              126.9  
1981     12              270.3  
1982      1              224.4  
1982      2               25.6  
1982      3               87.6  
1982      4               64.6  
1982      5               85.8  
1982      6              201.9  
1982      7              112.3  
1982      8              171.3  
1982      9              179.4  
1982     10               79.4  
1982     11               80.1  
1982     12               89.6  
1983      1              159.7  
1983      2               54.8  
1983      3               64.8  
1983      4               92.7  
1983      5              183.8  
1983      6              135.7  
1983      7               37.6  
1983      8              152.1  
1983      9              169.9  
1983     10               68.1  
1983     11              130.1  
1983     12              112.7  
1984      1              109.2  
1984      2              161.5  
1984      3               51.1  
1984      4               53.7  
1984      5               95.0  
1984      6              153.6  
1984      7              115.3  
1984      8              160.3  
1984      9              395.1  
1984     10               61.6  
1984     11               56.6  
1984     12               55.0  
1985      1               78.1  
1985      2               78.0  
1985      3               47.5  
1985      4              142.0  
1985      5               68.7  
1985      6              158.2  
1985      7              111.1  
1985      8              246.6  
1985      9               50.2  
1985     10               12.0  
1985     11              104.4  
1985     12               21.6  
1986      1              229.9  
1986      2               43.7  
1986      3              101.7  
1986      4              205.1  
1986      5              164.2  
1986      6              142.6  
1986      7              186.4  
1986      8              186.0  
1986      9               39.3  
1986     10               66.4  
1986     11               51.1  
1986     12              176.8  
1987      1              116.6  
1987      2               97.8  
1987      3              108.9  
1987      4               75.3  
1987      5              176.2  
1987      6              250.5  
1987      7              292.7  
1987      8              109.7  
1987      9              135.4  
1987     10               27.8  
1987     11              102.9  
1987     12               84.2  
1988      1               47.8  
1988      2              121.0  
1988      3              377.3  
1988      4               77.6  
1988      5               89.9  
1988      6              170.8  
1988      7              148.1  
1988      8              147.2  
1988      9               60.6  
1988     10               86.0  
1988     11               86.0  
1988     12              229.7  
1989      1               11.6  
1989      2               98.2  
1989      3               68.4  
1989      4               89.1  
1989      5               56.5  
1989      6              125.1  
1989      7              102.5  
1989      8              197.2  
1989      9              154.7  
1989     10               99.3  
1989     11               54.2  
1989     12               39.4  
1990      1               27.4  
1990      2              299.9  
1990      3               76.8  
1990      4              132.2  
1990      5               69.8  
1990      6              208.6  
1990      7               94.4  
1990      8               89.6  
1990      9              127.5  
1990     10              106.7  
1990     11              164.0  
1990     12               90.3  
1991      1               53.7  
1991      2               28.0  
1991      3               93.7  
1991      4               85.0  
1991      5              202.1  
1991      6              289.1  
1991      7              156.7  
1991      8               31.9  
1991      9              207.3  
1991     10               32.0  
1991     11               77.6  
1991     12              208.6  
1992      1               13.0  
1992      2              133.5  
1992      3              216.7  
1992      4               88.5  
1992      5               13.2  
1992      6               56.2  
1992      7              130.5  
1992      8              201.3  
1992      9               69.9  
1992     10              113.2  
1992     11              231.8  
1992     12              113.8  
1993      1               86.6  
1993      2               86.3  
1993      3               98.8  
1993      4              132.0  
1993      5               91.1  
1993      6              170.1  
1993      7              276.1  
1993      8              209.0  
1993      9              147.9  
1993     10              225.1  
1993     11               38.4  
1993     12              181.4  
1994      1              156.7  
1994      2               62.6  
1994      3               90.7  
1994      4              110.4  
1994      5              144.9  
1994      6               77.4  
1994      7              134.3  
1994      8              184.7  
1994      9              139.3  
1994     10               39.0  
